,id,geo,suburb,postcode,rent,Deakin University - Burwood,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
99,"(3121, 'Richmond South')","(-37.83, 145.01)",Richmond South,3121.0,350.0,9.723952864,3899.0,45,45,True,9.8 km,6.2 km,12,24
100,"(3121, 'Richmond North')","(-37.83, 145.01)",Richmond North,3121.0,350.0,9.723952864,123.0,45,45,True,9.8 km,6.2 km,12,24
101,"(3121, 'Richmond East')","(-37.83, 145.01)",Richmond East,3121.0,300.0,9.723952864,544.0,45,45,True,9.8 km,6.2 km,12,24
102,"(3552, 'Bendigo')","(-37.83, 145.01)",Bendigo,3552.0,288.0,9.723952864,205.0,45,45,True,9.8 km,6.2 km,12,24
103,"(3121, 'Burnley North')","(-37.83, 145.01)",Burnley North,3121.0,340.0,9.723952864,106.0,45,45,True,9.8 km,6.2 km,12,24
104,"(3121, 'Burnley')","(-37.83, 145.01)",Burnley,3121.0,340.0,9.723952864,55.0,45,45,True,9.8 km,6.2 km,12,24
105,"(3121, 'Cremorne')","(-37.83, 145.01)",Cremorne,3121.0,340.0,9.723952864,91.0,45,45,True,9.8 km,6.2 km,12,24
106,"(3121, 'Richmond')","(-37.83, 145.01)",Richmond,3121.0,340.0,9.723952864,49.0,45,45,True,9.8 km,6.2 km,12,24
107,"(3168, 'Notting Hill')","(-37.93, 145.12)",Notting Hill,3168.0,280.0,10.00755754,427.0,59,59,True,14.1 km,21.5 km,33,47
108,"(3168, 'Clayton')","(-37.93, 145.12)",Clayton,3168.0,280.0,10.00755754,939.0,59,59,True,14.1 km,21.5 km,33,47
109,"(3167, 'Oakleigh South')","(-37.93, 145.1)",Oakleigh South,3167.0,280.0,10.16031218,939.0,66,65,True,15.8 km,23.8 km,30,61
110,"(3134, 'Ringwood North')","(-37.81, 145.23)",Ringwood North,3134.0,330.0,10.22115597,662.0,49,47,True,14.1 km,27.0 km,34,55
111,"(3134, 'Warrandyte South')","(-37.81, 145.23)",Warrandyte South,3134.0,330.0,10.22115597,662.0,49,47,True,14.1 km,27.0 km,34,55
112,"(3134, 'Warranwood')","(-37.81, 145.23)",Warranwood,3134.0,350.0,10.22115597,260.0,49,47,True,14.1 km,27.0 km,34,55
113,"(3134, 'Ringwood')","(-37.81, 145.23)",Ringwood,3134.0,330.0,10.22115597,662.0,49,47,True,14.1 km,27.0 km,34,55
114,"(3134, 'Heathwood')","(-37.81, 145.23)",Heathwood,3134.0,330.0,10.22115597,622.0,49,47,True,14.1 km,27.0 km,34,55
115,"(3114, 'Park Orchards')","(-37.78, 145.21)",Park Orchards,3114.0,340.0,10.34522092,851.0,56,59,True,16.7 km,29.3 km,37,68
116,"(3078, 'Alphington')","(-37.78, 145.03)",Alphington,3078.0,295.0,10.34522092,229.0,69,77,True,27.5 km,9.9 km,23,30
117,"(3078, 'Fairfield')","(-37.78, 145.03)",Fairfield,3078.0,295.0,10.34522092,521.0,69,77,True,27.5 km,9.9 km,23,30
118,"(3079, 'Ivanhoe North')","(-37.77, 145.04)",Ivanhoe North,3079.0,350.0,10.48733237,647.0,78,77,True,18.0 km,12.0 km,25,38
119,"(3079, 'Ivanhoe East')","(-37.77, 145.04)",Ivanhoe East,3079.0,350.0,10.48733237,88.0,78,77,True,18.0 km,12.0 km,25,38
120,"(3079, 'Ivanhoe')","(-37.77, 145.04)",Ivanhoe,3079.0,350.0,10.48733237,647.0,78,77,True,18.0 km,12.0 km,25,38
121,"(3142, 'Toorak')","(-37.84, 145.0)",Toorak,3142.0,300.0,10.53764953,22.0,64,69,True,12.3 km,6.6 km,16,26
122,"(3142, 'Hawksburn')","(-37.84, 145.0)",Hawksburn,3142.0,300.0,10.53764953,272.0,64,69,True,12.3 km,6.6 km,16,26
