,id,geo,suburb,postcode,rent,Monash University - Parkville,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
44,"(3056, 'Brunswick')","(-37.76, 144.94)",Brunswick,3056,320,4.782517453,2582,13,13,TRUE,2.4 km,5.9 km,23,28
45,"(3056, 'Brunswick Lower')","(-37.76, 144.94)",Brunswick Lower,3056,320,4.782517453,2582,5,5,TRUE,1.0 km,4.5 km,17,21
46,"(3056, 'Brunswick North')","(-37.76, 144.94)",Brunswick North,3056,320,4.782517453,2582,22,27,TRUE,4.0 km,7.5 km,23,42
47,"(3057, 'Brunswick East')","(-37.76, 144.98)",Brunswick East,3057,350,4.782517453,796,27,30,TRUE,5.3 km,5.8 km,21,26
48,"(3070, 'Northcote South')","(-37.77, 145.0)",Northcote South,3070,320,4.846061783,1370,33,36,TRUE,5.9 km,6.1 km,21,33
49,"(3039, 'Moonee Ponds')","(-37.77, 144.92)",Moonee Ponds,3039,330,4.846061783,1294,35,29,TRUE,6.1 km,7.2 km,25,36
50,"(3070, 'Northcote')","(-37.77, 145.0)",Northcote,3070,320,4.846061783,1370,38,44,TRUE,6.2 km,6.9 km,24,37
51,"(3011, 'Seddon West')","(-37.8, 144.9)",Seddon West,3011,290,5.271681075,2797,32,40,TRUE,10.0 km,8.2 km,24,26
52,"(3011, 'Footscray')","(-37.8, 144.9)",Footscray,3011,290,5.271681075,2797,51,46,TRUE,10.8 km,7.7 km,24,33
53,"(3011, 'Seddon')","(-37.8, 144.9)",Seddon,3011,270,5.271681075,252,34,42,TRUE,10.1 km,8.3 km,24,28
54,"(3121, 'Richmond North')","(-37.83, 145.01)",Richmond North,3121,350,5.515352647,123,869,882,TRUE,"1,015 km",793 km,545,946
55,"(3552, 'Bendigo')","(-37.83, 145.01)",Bendigo,3552,288,5.515352647,205,154,163,TRUE,168 km,165 km,117,146
56,"(3121, 'Burnley')","(-37.83, 145.01)",Burnley,3121,340,5.515352647,55,45,43,TRUE,8.7 km,6.3 km,13,26
57,"(3121, 'Burnley North')","(-37.83, 145.01)",Burnley North,3121,340,5.515352647,106,45,43,TRUE,8.7 km,6.3 km,13,26
58,"(3121, 'Cremorne')","(-37.83, 145.01)",Cremorne,3121,340,5.515352647,91,43,41,TRUE,7.1 km,3.8 km,14,24
59,"(3121, 'Richmond')","(-37.83, 145.01)",Richmond,3121,340,5.515352647,49,40,37,TRUE,7.4 km,4.0 km,15,21
61,"(3121, 'Richmond South')","(-37.83, 145.01)",Richmond South,3121,350,5.515352647,3899,40,37,TRUE,7.4 km,4.0 km,15,21
63,"(3142, 'Toorak')","(-37.84, 145.0)",Toorak,3142,300,5.668125927,22,58,48,TRUE,11.2 km,7.9 km,17,43
64,"(3071, 'Thornbury')","(-37.76, 145.0)",Thornbury,3071,295,5.669305842,1185,33,42,TRUE,7.7 km,9.3 km,26,46
65,"(3181, 'Prahran')","(-37.85, 144.99)",Prahran,3181,270,6.152545607,412.5140736,50,44,TRUE,9.8 km,6.7 km,19,33
66,"(3181, 'Prahran East')","(-37.85, 144.99)",Prahran East,3181,270,6.152545607,903,50,44,TRUE,9.8 km,6.7 km,19,33
67,"(3181, 'Windsor')","(-37.85, 144.99)",Windsor,3181,270,6.152545607,209,40,41,TRUE,10.4 km,6.9 km,20,22
68,"(3013, 'Yarraville')","(-37.82, 144.89)",Yarraville,3013,270,6.539236824,850,43,62,TRUE,12.9 km,10.9 km,22,41
69,"(3013, 'Yarraville West')","(-37.82, 144.89)",Yarraville West,3013,270,6.539236824,850,40,54,TRUE,11.0 km,10.0 km,22,32
70,"(3078, 'Fairfield')","(-37.78, 145.03)",Fairfield,3078,295,6.540802863,521,43,42,TRUE,12.1 km,8.6 km,23,27
71,"(3078, 'Alphington')","(-37.78, 145.03)",Alphington,3078,295,6.540802863,229,40,48,TRUE,10.5 km,10.1 km,22,32
72,"(3040, 'Aberfeldie')","(-37.76, 144.9)",Aberfeldie,3040,300,6.898450611,133,55,52,TRUE,11.1 km,11.6 km,30,59
73,"(3040, 'Essendon West')","(-37.76, 144.9)",Essendon West,3040,300,6.898450611,31,47,48,TRUE,11.3 km,11.8 km,32,54
74,"(3040, 'Essendon')","(-37.76, 144.9)",Essendon,3040,300,6.898450611,1375,34,38,TRUE,7.7 km,8.9 km,26,38
75,"(3060, 'Fawkner')","(-37.76, 144.9)",Fawkner,3060,285,6.898450611,831,42,65,TRUE,13.1 km,17.5 km,35,55
76,"(3060, 'Fawkner East')","(-37.76, 144.9)",Fawkner East,3060,285,6.898450611,831,42,65,TRUE,13.1 km,17.5 km,35,55
77,"(3060, 'Fawkner North')","(-37.76, 144.9)",Fawkner North,3060,285,6.898450611,831,42,65,TRUE,13.1 km,17.5 km,35,55
78,"(3101, 'Kew')","(-37.81, 145.04)",Kew,3101,300,7.115848039,31,55,52,TRUE,11.3 km,7.4 km,22,36
80,"(3144, 'Malvern North')","(-37.84, 145.03)",Malvern North,3144,310,7.588714495,781,55,57,TRUE,11.9 km,8.4 km,18,37
81,"(3144, 'Kooyong')","(-37.84, 145.03)",Kooyong,3144,330,7.588714495,2932,45,43,TRUE,11.3 km,7.8 km,16,25
82,"(3144, 'Malvern')","(-37.84, 145.03)",Malvern,3144,330,7.588714495,2932,57,53,TRUE,12.4 km,8.9 km,17,39
84,"(3123, 'Hawthorn East')","(-37.83, 145.04)",Hawthorn East,3123,300,7.779035249,1371,57,55,TRUE,12.3 km,9.2 km,20,43
85,"(3079, 'Ivanhoe East')","(-37.77, 145.04)",Ivanhoe East,3079,350,7.781614295,88,47,70,TRUE,13.7 km,12.4 km,24,39
86,"(3079, 'Ivanhoe')","(-37.77, 145.04)",Ivanhoe,3079,350,7.781614295,647,49,52,TRUE,15.2 km,11.6 km,25,33
87,"(3079, 'Ivanhoe North')","(-37.77, 145.04)",Ivanhoe North,3079,350,7.781614295,647,49,52,TRUE,15.2 km,11.6 km,25,33
88,"(3058, 'Coburg')","(-37.73, 144.96)",Coburg,3058,310,7.783655861,1869,21,21,TRUE,5.0 km,8.5 km,28,35
89,"(3058, 'Moreland')","(-37.73, 144.96)",Moreland,3058,310,7.783655861,1869,25,24,TRUE,5.9 km,9.5 km,30,40
90,"(3058, 'Merlynston')","(-37.73, 144.96)",Merlynston,3058,310,7.783655861,1869,24,24,TRUE,8.0 km,13.8 km,33,34
91,"(3058, 'Coburg North')","(-37.73, 144.96)",Coburg North,3058,250,7.783655861,738,26,26,TRUE,6.5 km,10.0 km,31,42
93,"(3102, 'Kew East')","(-37.8, 145.05)",Kew East,3102,300,7.907521443,105,59,53,TRUE,14.3 km,11.9 km,24,51
94,"(3182, 'St Kilda')","(-37.87, 144.98)",St Kilda,3182,330,7.979361984,1303,52,52,TRUE,10.1 km,6.4 km,21,33
95,"(3182, 'St Kilda South')","(-37.87, 144.98)",St Kilda South,3182,348,7.979361984,468,65,57,TRUE,12.1 km,8.2 km,23,38
96,"(3182, 'St Kilda West')","(-37.87, 144.98)",St Kilda West,3182,348,7.979361984,508,51,51,TRUE,10.1 km,6.6 km,21,32
97,"(3044, 'Pascoe Vale South')","(-37.73, 144.94)",Pascoe Vale South,3044,310,7.979728704,438,38,32,TRUE,7.4 km,12.0 km,23,41
98,"(3044, 'Pascoe Vale')","(-37.73, 144.94)",Pascoe Vale,3044,250,7.979728704,939,41,38,TRUE,8.6 km,13.4 km,27,43
99,"(3041, 'Essendon Fields')","(-37.74, 144.91)",Essendon Fields,3041,300,7.989140135,174,65,50,TRUE,13.9 km,13.5 km,28,57
100,"(3041, 'Essendon North')","(-37.74, 144.91)",Essendon North,3041,300,7.989140135,262,56,50,TRUE,11.8 km,11.4 km,28,49
101,"(3041, 'Strathmore')","(-37.74, 144.91)",Strathmore,3041,300,7.989140135,338,44,36,TRUE,11.0 km,12.2 km,24,58
102,"(3041, 'Strathmore Heights')","(-37.74, 144.91)",Strathmore Heights,3041,300,7.989140135,38,56,48,TRUE,15.0 km,17.3 km,29,55
103,"(8873, 'Port Melbourne')","(-37.85, 144.89)",Port Melbourne,8873,400,8.289232488,14270,47,52,TRUE,9.4 km,5.9 km,20,27
104,"(3015, 'Spotswood')","(-37.84, 144.88)",Spotswood,3015,290,8.316353765,235,36,50,TRUE,12.3 km,11.3 km,23,28
105,"(3015, 'South Kingsville')","(-37.84, 144.88)",South Kingsville,3015,290,8.316353765,104,65,70,TRUE,18.3 km,16.2 km,24,48
106,"(3015, 'Newport')","(-37.84, 144.88)",Newport,3015,290,8.316353765,619,35,53,TRUE,13.7 km,12.6 km,23,30
108,"(3016, 'Williamstown')","(-37.86, 144.9)",Williamstown,3016,350,8.501746002,1023,55,82,TRUE,18.3 km,14.8 km,26,38
109,"(3143, 'Armadale North')","(-37.86, 145.02)",Armadale North,3143,330,8.501746002,2932,41,39,TRUE,11.5 km,8.0 km,21,24
110,"(3016, 'Williamstown North')","(-37.86, 144.9)",Williamstown North,3016,350,8.501746002,149,65,115,TRUE,25.4 km,17.0 km,29,50
111,"(3143, 'Armadale')","(-37.86, 145.02)",Armadale,3143,300,8.501746002,1326,41,39,TRUE,11.5 km,8.0 km,21,24
112,"(3183, 'St Kilda East')","(-37.87, 145.0)",St Kilda East,3183,325,8.539612103,2289,60,60,TRUE,11.8 km,8.3 km,23,42
113,"(3183, 'Balaclava')","(-37.87, 145.0)",Balaclava,3183,325,8.539612103,2289,41,42,TRUE,11.9 km,8.4 km,24,23
114,"(3124, 'Middle Camberwell')","(-37.82, 145.06)",Middle Camberwell,3124,330,9.062063747,1002,61,66,TRUE,13.5 km,10.0 km,22,44
115,"(3124, 'Hartwell')","(-37.82, 145.06)",Hartwell,3124,300,9.062063747,706,54,70,TRUE,16.0 km,13.8 km,22,41
116,"(3124, 'Camberwell West')","(-37.82, 145.06)",Camberwell West,3124,300,9.062063747,706,56,58,TRUE,14.5 km,11.6 km,18,49
117,"(3124, 'Camberwell South')","(-37.82, 145.06)",Camberwell South,3124,300,9.062063747,1371,66,73,TRUE,14.9 km,13.7 km,19,42
118,"(3124, 'Camberwell North')","(-37.82, 145.06)",Camberwell North,3124,300,9.062063747,1371,61,66,TRUE,13.5 km,10.0 km,22,44
119,"(3124, 'Camberwell')","(-37.82, 145.06)",Camberwell,3124,300,9.062063747,1371,61,66,TRUE,13.5 km,10.0 km,22,44
120,"(3019, 'Braybrook')","(-37.78, 144.86)",Braybrook,3019,280,9.06436998,1510,60,60,TRUE,14.6 km,11.7 km,31,49
121,"(3019, 'Braybrook North')","(-37.78, 144.86)",Braybrook North,3019,280,9.06436998,1510,71,63,TRUE,16.4 km,13.6 km,31,54
123,"(3122, 'Hawthorn North')","(-37.84, 145.05)",Hawthorn North,3122,350,9.070720963,3899,38,48,TRUE,11.2 km,8.9 km,18,26
124,"(3122, 'Hawthorn')","(-37.84, 145.05)",Hawthorn,3122,350,9.070720963,3899,38,48,TRUE,11.2 km,8.9 km,18,26
125,"(3122, 'Glenferrie South')","(-37.84, 145.05)",Glenferrie South,3122,350,9.070720963,3899,49,47,TRUE,10.6 km,7.2 km,17,31
126,"(3122, 'Auburn South')","(-37.84, 145.05)",Auburn South,3122,350,9.070720963,218,65,63,TRUE,12.8 km,10.1 km,17,39
127,"(3122, 'Hawthorn West')","(-37.84, 145.05)",Hawthorn West,3122,350,9.070720963,3899,46,42,TRUE,8.9 km,5.3 km,17,28
128,"(3072, 'Regent West')","(-37.74, 145.03)",Regent West,3072,320,9.075708397,3936,47,51,TRUE,9.2 km,11.5 km,30,47
130,"(3072, 'Preston South')","(-37.74, 145.03)",Preston South,3072,320,9.075708397,3936,40,58,TRUE,9.0 km,11.8 km,29,41
131,"(3072, 'Preston Lower')","(-37.74, 145.03)",Preston Lower,3072,320,9.075708397,3936,44,50,TRUE,7.8 km,9.1 km,26,39
132,"(3072, 'Northland Centre')","(-37.74, 145.03)",Northland Centre,3072,320,9.075708397,3936,53,50,TRUE,11.4 km,13.6 km,33,46
133,"(3072, 'Preston')","(-37.74, 145.03)",Preston,3072,320,9.075708397,3936,46,45,TRUE,9.7 km,10.7 km,29,53
135,"(3185, 'Ripponlea')","(-37.88, 145.0)",Ripponlea,3185,295,9.563985612,597,42,43,TRUE,12.6 km,7.8 km,24,36
136,"(3185, 'Gardenvale')","(-37.88, 145.0)",Gardenvale,3185,325,9.563985612,250,51,52,TRUE,15.4 km,11.9 km,27,33
137,"(3185, 'Elsternwick')","(-37.88, 145.0)",Elsternwick,3185,325,9.563985612,4115,50,51,TRUE,14.0 km,10.5 km,27,31
138,"(3184, 'Elwood')","(-37.88, 145.0)",Elwood,3184,320,9.563985612,4115,53,54,TRUE,13.4 km,9.9 km,25,36
139,"(3184, 'Brighton Road')","(-37.88, 145.0)",Brighton Road,3184,325,9.563985612,974,45,47,TRUE,12.8 km,7.5 km,23,33
141,"(3081, 'Bellfield')","(-37.75, 145.05)",Bellfield,3081,330,9.668612746,140,46,42,TRUE,11.9 km,13.8 km,28,40
142,"(3081, 'Heidelberg Heights')","(-37.75, 145.05)",Heidelberg Heights,3081,330,9.668612746,627,61,65,TRUE,19.6 km,15.9 km,31,53
143,"(3081, 'Heidelberg West')","(-37.75, 145.05)",Heidelberg West,3081,330,9.668612746,938,49,55,TRUE,13.3 km,16.4 km,31,55
144,"(3012, 'Brooklyn')","(-37.81, 144.85)",Brooklyn,3012,260,9.727854169,344,55,82,TRUE,14.9 km,12.8 km,24,42
145,"(3012, 'West Footscray')","(-37.81, 144.85)",West Footscray,3012,260,9.727854169,754,43,51,TRUE,13.1 km,11.2 km,26,38
146,"(3012, 'Kingsville West')","(-37.81, 144.85)",Kingsville West,3012,260,9.727854169,944,41,49,TRUE,11.3 km,9.5 km,24,37
147,"(3012, 'Maidstone')","(-37.81, 144.85)",Maidstone,3012,260,9.727854169,944,48,61,TRUE,13.0 km,12.4 km,27,51
148,"(3012, 'Tottenham')","(-37.81, 144.85)",Tottenham,3012,260,9.727854169,114,50,58,TRUE,13.7 km,11.8 km,26,47
149,"(3012, 'Kingsville')","(-37.81, 144.85)",Kingsville,3012,260,9.727854169,166,41,49,TRUE,11.3 km,9.5 km,24,37
150,"(3104, 'Balwyn North')","(-37.79, 145.07)",Balwyn North,3104,338,9.729154023,1307,70,62,TRUE,16.0 km,12.5 km,26,54
154,"(3025, 'Altona Gate')","(-37.84, 144.86)",Altona Gate,3025,250,9.845674382,909,49,85,TRUE,15.7 km,12.2 km,29,30
155,"(3025, 'Altona North')","(-37.84, 144.86)",Altona North,3025,250,9.845674382,909,68,105,TRUE,17.9 km,15.2 km,30,49
156,"(3103, 'Balwyn')","(-37.81, 145.08)",Balwyn,3103,300,10.60112532,20,64,71,TRUE,15.0 km,11.4 km,29,44
157,"(3103, 'Balwyn East')","(-37.81, 145.08)",Balwyn East,3103,300,10.60112532,11,64,71,TRUE,15.0 km,11.4 km,29,44
158,"(3353, 'Ballarat')","(-37.78, 144.84)",Ballarat,3353,288,10.77674844,112,117,105,TRUE,119 km,115 km,91,104
159,"(3162, 'Hopetoun Gardens')","(-37.88, 145.03)",Hopetoun Gardens,3162,300,10.81281412,52,64,64,TRUE,13.6 km,10.0 km,29,45
160,"(3162, 'Caulfield')","(-37.88, 145.03)",Caulfield,3162,300,10.81281412,220,64,57,TRUE,16.2 km,11.7 km,26,53
161,"(3162, 'Caulfield South')","(-37.88, 145.03)",Caulfield South,3162,300,10.81281412,15,68,72,TRUE,16.0 km,12.5 km,30,50
162,"(3105, 'Bulleen South')","(-37.77, 145.08)",Bulleen South,3105,340,11.06053904,400,46,44,TRUE,17.6 km,14.2 km,25,37
163,"(3105, 'Bulleen')","(-37.77, 145.08)",Bulleen,3105,338,11.06053904,257,61,76,TRUE,19.6 km,16.3 km,26,55
164,"(3146, 'Glen Iris')","(-37.85, 145.07)",Glen Iris,3146,300,11.14697149,370,53,52,TRUE,14.7 km,11.2 km,17,34
165,"(3145, 'Wattletree Road Po')","(-37.88, 145.05)",Wattletree Road Po,3145,325,11.33507059,602,65,63,TRUE,14.7 km,11.1 km,19,44
166,"(3145, 'Caulfield East')","(-37.88, 145.05)",Caulfield East,3145,310,11.33507059,781,46,39,TRUE,14.7 km,11.2 km,23,30
168,"(3145, 'Malvern East')","(-37.88, 145.05)",Malvern East,3145,325,11.33507059,602,58,52,TRUE,17.2 km,13.9 km,21,42
169,"(3145, 'Darling South')","(-37.88, 145.05)",Darling South,3145,325,11.33507059,88,57,51,TRUE,15.9 km,13.7 km,22,36
171,"(3187, 'Brighton East')","(-37.9, 145.0)",Brighton East,3187,300,11.66096565,65,70,86,TRUE,21.2 km,15.0 km,31,64
173,"(3046, 'Glenroy')","(-37.7, 144.92)",Glenroy,3046,285,11.66239954,1549,52,48,TRUE,13.2 km,15.9 km,27,40
174,"(3046, 'Hadfield')","(-37.7, 144.92)",Hadfield,3046,285,11.66239954,428,51,45,TRUE,11.4 km,18.1 km,32,47
175,"(3046, 'Oak Park')","(-37.7, 144.92)",Oak Park,3046,285,11.66239954,191,57,47,TRUE,20.3 km,14.4 km,26,38
176,"(3042, 'Airport West')","(-37.71, 144.89)",Airport West,3042,300,11.74833556,819,70,61,TRUE,14.3 km,13.9 km,27,62
177,"(3042, 'Keilor Park')","(-37.71, 144.89)",Keilor Park,3042,300,11.74833556,215,74,66,TRUE,19.1 km,17.6 km,30,78
178,"(3042, 'Niddrie')","(-37.71, 144.89)",Niddrie,3042,300,11.74833556,298,56,51,TRUE,13.2 km,13.0 km,29,60
179,"(3086, 'La Trobe University')","(-37.72, 145.05)",La Trobe University,3086,330,11.90497356,412.5140736,60,55,TRUE,16.4 km,18.5 km,36,52
181,"(3126, 'Canterbury')","(-37.84, 145.09)",Canterbury,3126,330,12.25454187,1002,53,58,TRUE,14.4 km,12.2 km,26,36
182,"(3126, 'Camberwell East')","(-37.84, 145.09)",Camberwell East,3126,330,12.25454187,1002,44,49,TRUE,13.8 km,11.5 km,24,27
183,"(3085, 'Yallambie')","(-37.73, 145.07)",Yallambie,3085,330,12.41294205,116,83,99,TRUE,20.7 km,22.2 km,35,70
184,"(3085, 'Macleod')","(-37.73, 145.07)",Macleod,3085,330,12.41294205,328,60,71,TRUE,20.9 km,17.4 km,35,43
185,"(3085, 'Macleod West')","(-37.73, 145.07)",Macleod West,3085,330,12.41294205,328,60,71,TRUE,20.9 km,17.4 km,35,43
186,"(3147, 'Ashburton')","(-37.86, 145.08)",Ashburton,3147,300,12.47332294,2008,58,71,TRUE,18.3 km,16.0 km,20,45
187,"(3147, 'Ashwood')","(-37.86, 145.08)",Ashwood,3147,300,12.47332294,2008,70,67,TRUE,21.4 km,15.2 km,25,52
188,"(3127, 'Mont Albert')","(-37.82, 145.1)",Mont Albert,3127,330,12.49836932,1002,57,62,TRUE,17.7 km,15.5 km,29,40
189,"(3127, 'Surrey Hills')","(-37.82, 145.1)",Surrey Hills,3127,240,12.49836932,704,54,59,TRUE,16.8 km,14.5 km,28,36
190,"(3127, 'Surrey Hills North')","(-37.82, 145.1)",Surrey Hills North,3127,240,12.49836932,704,54,59,TRUE,16.8 km,14.5 km,28,36
191,"(3020, 'Sunshine')","(-37.78, 144.82)",Sunshine,3020,233,12.50164674,2403,45,53,TRUE,16.1 km,14.3 km,34,39
192,"(3020, 'Sunshine West')","(-37.78, 144.82)",Sunshine West,3020,233,12.50164674,1126,54,64,TRUE,17.7 km,16.0 km,32,42
193,"(3020, 'Glengala')","(-37.78, 144.82)",Glengala,3020,233,12.50164674,2403,46,76,TRUE,18.0 km,15.8 km,32,43
194,"(3020, 'Albion')","(-37.78, 144.82)",Albion,3020,233,12.50164674,502,47,55,TRUE,17.5 km,15.7 km,31,41
195,"(3020, 'Sunshine North')","(-37.78, 144.82)",Sunshine North,3020,233,12.50164674,1423,62,75,TRUE,20.2 km,18.3 km,34,56
196,"(3186, 'Brighton North')","(-37.91, 144.99)",Brighton North,3186,315,12.5118302,784,51,52,TRUE,16.2 km,12.7 km,29,33
197,"(3186, 'Brighton')","(-37.91, 144.99)",Brighton,3186,295,12.5118302,723,51,52,TRUE,16.3 km,12.8 km,29,34
198,"(3186, 'Were Street Po')","(-37.91, 144.99)",Were Street Po,3186,300,12.5118302,555,64,65,TRUE,19.6 km,16.1 km,33,45
200,"(3073, 'Reservoir North')","(-37.69, 145.01)",Reservoir North,3073,300,12.99755183,4564,51,57,TRUE,10.7 km,18.3 km,35,55
201,"(3073, 'Reservoir South')","(-37.69, 145.01)",Reservoir South,3073,300,12.99755183,4564,52,57,TRUE,12.0 km,14.9 km,35,46
202,"(3073, 'Reservoir East')","(-37.69, 145.01)",Reservoir East,3073,300,12.99755183,4564,52,57,TRUE,12.0 km,14.9 km,35,46
203,"(3073, 'Keon Park')","(-37.69, 145.01)",Keon Park,3073,300,12.99755183,4564,53,92,TRUE,20.3 km,16.8 km,36,41
204,"(3073, 'Reservoir')","(-37.69, 145.01)",Reservoir,3073,300,12.99755183,4564,52,57,TRUE,12.0 km,14.9 km,35,46
